啊	a_
刨	bcbd
瀑	bcd_
胞	bcos
褒	bcw_
葆	bccm
苞	bccs
孢	bczs
雹	bcy_
趵	bcz_
褓	bcp_
白	bd_
百	bda_
摆	bdf_
拜	bdu_
败	bdk_
柏	bdm_
伯	bdrb
呗	bdkr
掰	bduu
佰	bdr_
稗	bdh_
捭	bdfu
本	bf_
笨	bfv_
奔	bfd_
苯	bfc_
锛	bfj_
坌	bfb_
贲	bfur
蹦	bg_
崩	bge_
泵	bgu_
甭	bgb_
嘣	bgk_
绷	bgs_
蚌	bgi_
迸	bgz_
镚	bgj_
祊	bgp_
帮	bh_
彭	bhup
棒	bhm_
榜	bhmf
邦	bhf_
绑	bhs_
磅	bhu_
傍	bhr_
镑	bhj_
蚌	bhi_
浜	bhd_
膀	bho_
谤	bhy_
梆	bhme
蒡	bhc_
比	bi_
必	bid_
逼	bizt
笔	biv_
箅	bivl
币	bip_
碧	biw_
毕	bibu
彼	bii_
避	biz_
壁	biu_
秘	bihb
鼻	bizl
闭	bim_
臂	biuo
弊	bidc
敝	bidw
毙	bib_
蔽	bic_
哔	bik_
俾	bir_
婢	bin_
痹	bibl
弼	bigg
庇	big_
匕	bipv
贲	biur
泌	bidb
吡	bikb
陛	bie_
铋	bij_
篦	bivb
裨	bipu
蓖	bicb
毖	bibb
筚	bivu
濞	bidl
纰	bis_
荸	bicz
鄙	bike
璧	biu2
办	bj_
版	bjp_
般	bjv_
半	bjd_
班	bjw_
板	bjm_
搬	bjf_
斑	bjww
伴	bjr_
扮	bjfd
拌	bjfb
瓣	bjl_
扳	bjfy
颁	bjb_
坂	bjt_
绊	bjs_
阪	bje_
钣	bjjy
瘢	bjby
并	bk_
病	bkb_
兵	bkq_
冰	bkd_
屏	bkuk
饼	bku_
丙	bka_
炳	bkh_
秉	bkp_
柄	bkm_
禀	bkw_
摒	bkf_
邴	bkbe
槟	bkm2
边	bm_
便	bmr_
变	bmw_
遍	bmz_
编	bms_
扁	bmh_
煸	bmh2
辩	bml_
辨	bml2
鞭	bmg_
辫	bmlu
贬	bmk_
卞	bmdx
匾	bmkc
弁	bmsc
砭	bmu_
汴	bmd_
苄	bmc_
鳊	bma_
蝙	bmic
表	bn_
标	bnm_
婊	bnn_
彪	bnh_
飙	bnq_
镖	bnj_
膘	bno_
裱	bnp_
骠	bnmx
镳	bnjh
拨	bo_
波	bod_
博	bou_
伯	bor_
薄	boc_
柏	bom_
播	bof_
卜	bol_
泊	bodb
搏	bofc
剥	boe_
勃	boul
驳	bomx
钵	bojb
簿	bovc
玻	bow_
脖	booz
铂	boj_
蕃	boct
帛	bob_
跛	boz_
渤	bodl
钹	bojd
菠	bocy
膊	boo_
亳	bowq
舶	bovb
簸	bovy
擘	bouu
檗	boum
饽	bouz
礴	bouc
鲌	boa_
箔	bov_
别	bp_
憋	bpd_
鳖	bpda
瘪	bpb_
蹩	bpdr
部	bu_
布	buu_
补	bup_
步	buv_
堡	bur_
捕	buf_
卟	bukb
簿	buvc
卜	bul_
埠	but_
钚	buj_
埔	butf
怖	bux_
哺	buk_
逋	buz_
被	bw_
倍	bwr_
北	bwl_
背	bwlo
呗	bwk_
杯	bwm_
贝	bwkr
悲	bwf_
备	bww_
辈	bwfi
臂	bwuo
碑	bwu_
勃	bwul
卑	bwp_
蓓	bwc_
焙	bwh_
悖	bwx_
陂	bwe_
钡	bwj_
狈	bwq_
惫	bwwx
碚	bwuk
避暑	biuu
辟	biuu2
朳	bamb
鸨	bcb2
犇	bfn_
荜	bic2
睥	bio_
薜	bicu
啵	bok_
魃	bagd
菝	bacd
岜	bae_
妭	ban_
胈	bao_
哱	bakz
羓	bayb
鲃	baab
豳	bbe_
髌	bbg_
傧	bbr_
邠	bbbe
枹	bcms
畚	bfs_
栟	bfm_
甏	bguw
堋	bgt_
琫	bgw_
𠳐	bhk_
玤	bhw_
棓	bhmk
塝	bht_
搒	bhff
滗	bidm
髀	bigu
秕	bih_
妣	binb
畀	bit_
嬖	biun
愎	bix_
赑	bikr
狴	biq_
坒	bibt
佖	birb
邲	bibe
诐	biy_
珌	biwb
觱	bixy
鲾	bia_
癍	bjbw
柈	bjmb
昄	bjoy
湴	bjdy
靽	bjgb
昺	bko_
蛃	bki_
褊	bmp_
忭	bmx_
抃	bmf_
碥	bmuc
昪	bmo_
萹	bmcc
鳔	bna_
飑	bnjs
杓	bnmu
俵	bnr_
瘭	bnb_
脿	bnoy
蔈	bnc_
熛	bnhx
儦	bnrh
藨	bnch
鹁	boun
僰	boar
砵	boub
踣	bozk
哱	bokz
桲	bomz
榑	bomc
嶓	boet
镈	bojc
馞	boh_
磻	bout
晡	buo_
醭	buyn
蔀	buc_
鞴	bwgy
鐾	bwuj
庳	bwgu
鹎	bwpn
椑	bwmu
糒	bwmy
𬭛	bojy
𬷕	bufn
抦	bkfb
㞎	baub
揼	bgfu
屄	biub
噃	bokt
必须	bx_
不同	bt_
保证	bv_
并且	bq_
必要	by_
不再	bz_
比赛	bs_
本来	bl_
不然	br_
不饿	be_
爸爸	baba
八宝	babc
八百	babd
芭比	babi
把柄	babk
拔草	bacc
霸道	badc
拔掉	badn
巴豆	badz
北爱尔兰	bael
把风	bafg
八方	bafh
拔高	bagc
八个	bage
把关	bagr
罢工	bags
八股	bagu
八卦	bagx
扒光	bagl
疤痕	bahf
拔河	bahe
跋扈	bahu
八荒	bahl
不安好心	bahx
拔出	baiu
蚆	baib
不按常理	bail
不按常理出牌	baip
扒车	baie
八成	baig
靶场	baih
把持	baii
吧唧	baji
拔尖	bajm
八角	bajn
巴结	bajp
扒开	bakd
罢课	bake
把控	baks
扒拉	bala
八两	ball
巴林	balb
罢了	bale
巴黎	bali
霸凌	balk
八路	balu
芭蕾	balw
爸妈	bama
拔毛	bamc
把脉	bamd
把门	bamf
罢免	bamm
八年	banm
扒皮	bapi
不安全	baq_
霸权	baqr
霸气	baqi
八千	baqm
拔丝	basi
罢赛	basd
八岁	basv
吧台	batd
八天	batm
拔腿	batv
把守	bau_
跋涉	baue
八十	baui
巴蜀	bauu
把手	bauz
八折	bave
巴掌	bavh
霸占	bavj
霸主	bavu
把玩	baw_
把稳	bawf
霸王	bawh
八万	bawj
把握	bawo
把戏	bax_
靶心	baxb
巴西	baxi
八仙	baxm
罢休	baxq
拔下	baxx
八旬	baxy
拔牙	baya
霸业	baye
八一	bayi
八月	bayt
八字	bazi
保安族	bazu
并不比	bbbi
不卑不亢	bbbk
不比不知道	bbbd
办不到	bbdc
斑斑点点	bbdd
巴不得	bbde
百般刁难	bbdn
不必当真	bbdv
逼不得已	bbdy
巴巴多斯	bbds
包办代替	bbdt
缤纷	bbff
宾馆	bbgr
并不会	bbhv
滨海	bbhd
滨河	bbhe
办不成	bbig
百步穿杨	bbiy
变本加厉	bbjl
鬓角	bbjn
比比皆是	bbju
步步惊心	bbjx
步步紧逼	bbjb
不包括	bbko
宾客	bbke
必不可少	bbku
必不可缺	bbkq
八百里	bbl_
濒临	bblb
步步莲花	bblh
宾利	bbli
斑驳陆离	bbll
殡殓	bblm
巴比伦	bbly
便把令来行	bblx
鬓毛	bbmc
爸爸妈妈	bbmm
帮帮忙	bbmh
把把脉	bbmd
并不能	bbng
宾朋	bbpg
白白胖胖	bbpp
北半球	bbqq
摈弃	bbqi
兵败如山倒	bbrd
棒棒糖	bbth
蹦蹦跳跳	bbtt
并不是	bbui
摆摆手	bbuz
并不是说	bbuu
比不上	bbuh
帮不上忙	bbum
八宝粥	bbvz
并不知道	bbvd
八拜之交	bbvj
宾主	bbvu
不辨真伪	bbvw
不白之冤	bbvy
被逼无奈	bbwn
卑鄙无耻	bbwi
北部湾	bbwj
濒危	bbww
白璧微瑕	bbwx
步步为营	bbwy
并不想	bbxl
兵不血刃	bbxr
并不需要	bbxy
不必要	bbyc
北冰洋	bbyh
彬彬有礼	bbyl
宾语	bbyu
兵不厌诈	bbyv
并不一定	bbyd
巴布亚新几内亚	bbyy
半辈子	bbzi
殡葬	bbzh
不必在意	bbzy
不把自己当外人	bbzr
保安	bcan
宝宝	bcbc
保本	bcbf
包庇	bcbi
包办	bcbj
刨冰	bcbk
褒贬	bcbm
报表	bcbn
保镖	bcbn2
宝贝	bcbw
爆仓	bcch
饱餐	bccj
报错	bcco
保存	bccy
包菜	bccd
报答	bcda
报道	bcdc
宝地	bcdi
保单	bcdj
保定	bcdk
宝典	bcdm
暴跌	bcdp
暴动	bcds
报毒	bcdu
报恩	bcen
不辞而别	bceb
爆发	bcfa
暴风	bcfg
包房	bcfh
报复	bcfu
报废	bcfw
不测风云	bcfy
报告	bcgc
宝盖	bcgd
饱嗝	bcge
包干	bcgj
曝光	bcgl
本草纲目	bcgm
包裹	bcgo
保管	bcgr
包公	bcgs
包谷	bcgu
宝贵	bcgv
饱和	bche
抱恨	bchf
包含	bchj
包换	bchr
保护	bchu
包藏祸心	bchx
报仇	bci_
宝刹	bcia
爆炒	bcic
包抄	bcic2
包车	bcie
包场	bcih
保持	bcii
爆出	bciu
报酬	bciz
刨床	bcil
宝剑	bcj_
抱紧	bcjb
不存芥蒂	bcjd
报警	bcjk
褒奖	bcjl
保健	bcjm
保洁	bcjp
保举	bcju
报价	bcjx
暴君	bcjy
包括	bcko
报考	bckc
报刊	bckj
剥壳	bcke
暴恐	bcks
病从口入	bckr
病从口入，祸从口出	bcki
宝库	bcku
不错了	bcl_
报了	bcle
爆冷	bclg
暴力	bcli
包揽	bclj
不辞劳苦	bclk
爆料	bcln
爆裂	bclp
保留	bclq
暴乱	bclr
暴露	bclu
堡垒	bclw
报幕	bcm_
宝马	bcma
百辞莫辩	bcmb
保密	bcmi
饱满	bcmj
报名	bcmk
薄膜	bcmo
保姆	bcmu
胞妹	bcmw
保暖	bcnr
包年	bcnm
暴虐	bcnt
暴怒	bcnu
爆棚	bcpg
报盘	bcpj
报批	bcpi
包票	bcpn
薄片	bcpm
爆破	bcpo
包赔	bcpw
抱歉	bcqm
抱起	bcqi
报请	bcqk
保全	bcqr
抱屈	bcqu
保人	bcrf
包容	bcrs
报送	bcss
报丧	bcsh
暴死	bcsi
包退	bctv
煲汤	bcth
宝塔	bcta
爆胎	bctd
报摊	bctj
报亭	bctk
暴跳	bctn
抱团	bctr
暴徒	bctu
包头	bctz
暴晒	bcud
报社	bcue
报审	bcuf
报上	bcuh
宝石	bcui
宝山	bcuj
抱残守缺	bcuq
报数	bcuu
报税	bcuv
保守	bcuz
爆炸	bcva
抱着	bcve
抱枕	bcvf
保证	bcvg
保障	bcvh
报纸	bcvi
报站	bcvj
包装	bcvl
保重	bcvs
抱住	bcvu
保准	bcvy
煲粥	bcvz
保温	bcwf
辩才无碍	bcwa
博茨瓦纳	bcwn
宝物	bcwu
包围	bcww
保卫	bcww2
保鲜	bcx_
报信	bcxb
报喜	bcxi
暴行	bcxk
包厢	bcxl
保险	bcxm
报销	bcxn
保修	bcxq
胞兄	bcxs
暴雪	bcxt
包下	bcxx
龅牙	bcya
报业	bcye
保养	bcyh
报以	bcyi
报应	bcyk
抱怨	bcyr
包月	bcyt
暴雨	bcyu
包邮	bcyz
包扎	bcza
暴躁	bczc
暴增	bczg
宝藏	bczh
包子	bczi
宝座	bczo
包租	bczu
不得不	bdb_
百宝	bdbc
拜拜	bdbd
败笔	bdbi
白班	bdbj
百病	bdbk
宝刀不老	bdbl
百变	bdbm
拜别	bdbp
百毒不侵	bdbq
不得不低头	bdbt
摆布	bdbu
百倍	bdbw
不大不小	bdbx
百读不厌	bdby
不得不服	bdbf
白菜	bdcd
百草	bdcc
白醋	bdcu
不单单	bddj
白搭	bdda
拜倒	bddc
白带	bddd
白底	bddi
白丁	bddk
白点	bddm
摆动	bdds
不登大雅之堂	bddt
百度	bddu
不得而知	bdev
背道而驰	bdei
拔地而起	bdeq
白发	bdfa
百分	bdff
拜访	bdfh
白饭	bdfj
拜佛	bdfo
白费	bdfw
白癜风	bdfg
白干	bdgj
白宫	bdgs
白鸽	bdge
白光	bdgl
百官	bdgr
白果	bdgo
白骨	bdgu
败给	bdgw
北戴河	bdh2
憋得慌	bdhl
摆好	bdhc
百合	bdhe
败坏	bdhk
百货	bdho
不得好死	bdhs
白虎	bdhu
拜会	bdhv
白话	bdhx
不动产	bdij
白痴	bdii
不到长城非好汉	bdih
百川	bdir
摆出	bdiu
不对劲	bdj_
白金	bdjb
兵多将广	bdjg
败绩	bdji
白净	bdjk
摆件	bdjm
白酒	bdjq
白卷	bdjr
败局	bdju
败家	bdjx
败军	bdjy
不懂就问	bdjw
掰开	bdkd
百科	bdke
遍地开花	bdkh
不大可能	bdkn
摆阔	bdko
不得了	bdln
背地里	bdli
白了	bdle
布达拉宫	bdlg
白领	bdlk
白脸	bdlm
百两	bdll
败落	bdlo
败露	bdlu
败类	bdlw
帮倒忙	bdm2
白马	bdma
白猫	bdmc
白忙	bdmh
百米	bdmi
摆满	bdmj
摆明	bdmk
白面	bdmm
白描	bdmn
白沫	bdmo
不达目的	bdmd
百年	bdnm
拜年	bdn_
白嫩	bdnf
百鸟	bdnn
摆弄	bdns
表达能力	bdnl
摆平	bdpk
摆谱	bdpu
不定期	bdqi
不得其法	bdqf
百强	bdql
不得其所	bdqs
北斗七星	bdqx
白人	bdrf
白日	bdri
不得人心	bdrx
白肉	bdrz
不动如山	bdru
不打算	bdsr
白色	bdse
冰冻三尺	bdsi
冰冻三尺，非一日之寒	bdsh
白送	bdss
败诉	bdsu
百岁	bdsv
百态	bdtd
白糖	bdth
摆摊	bdtj
白天	bdtm
白条	bdtn
拜托	bdto
白兔	bdtu
败退	bdtv
白头	bdtz
不断提高	bdtg
摆脱	bdt_
拔得头筹	bdti
白纱	bdua
摆设	bdue
摆上	bduh
拜师	bdui
拜山	bduj
白说	bduo
不动声色	bdus
不得善终	bduv
拜寿	bduz
别当真	bdvf
败招	bdvc
摆着	bdve
摆正	bdvg
败仗	bdvh
白纸	bdvi
白昼	bdvz
不懂装懂	bdvd
本单位	bdw_
百万	bdwj
不得无礼	bdwl
百位	bdww
不倒翁	bdwg
不断完善	bdwu
北斗星	bdx_
白皙	bdxi
百姓	bdxk
白线	bdxm
拜谢	bdxp
白雪	bdxt
拔刀相助	bdxv
不等于	bdy_
白银	bdyb
白药	bdyc
百业	bdye
白羊	bdyh
不得已	bdyi
白眼	bdyj
弊大于利	bdyl
百元	bdyr
白玉	bdyu
步调一致	bdyv
白云	bdyy
不答应	bdyk
柏油	bdyz
不得有误	bdyw
半吊子	bdz_
摆在	bdzd
白字	bdzi
白做	bdzo
白族	bdzu
不打自招	bdzv
败走	bdzz
博而不精	beb_
避而不见	bebj
避而不谈	bebt
备而不用	beby
不二法门	befm
不二法则	befz
巴尔干	begj
白俄罗斯	bels
布尔什维克	beuk
不二之选	bevx
巴尔扎克	bevk
本案	bfan
不方便	bfbm
本报	bfbc
笨笨	bfbf
本表	bfbn
奔波	bfbo
本部	bfbu
百分百	bfbd
百分比	bfbi
百发百中	bfbv
白发苍苍	bfcc
本次	bfci
不复存在	bfcz
不负此生	bfcu
百分点	bfdm
本当	bfdh
本地	bfdi
笨蛋	bfdj
百废待兴	bfdx
不复当年	bfdn
本分	bfff
奔放	bffh
奔赴	bffu
不法分子	bffz
本该	bfgd
本宫	bfgs
本国	bfgo
百分号	bfhc
本行	bfhh
暴发户	bfhu
奔驰	bfii
本场	bfih
不费吹灰之力	bfil
奔出	bfiu
本金	bfjb
本季	bfji
本届	bfjp
本就	bfjq
本家	bfjx
本科	bfke
本刊	bfkj
白费口舌	bfku
本来	bfld
本领	bflk
本利	bfli
白费力气	bflq
兵分两路	bfll
本类	bflw
本轮	bfly
本名	bfmk
本门	bfmf
本能	bfng
本年	bfnm
笨鸟	bfnn
奔跑	bfpc
本票	bfpn
不服气	bfq_
不分青红皂白	bfqb
本期	bfqi
本钱	bfqm
不乏其人	bfqr
本人	bfrf
倴	bfrc
本日	bfri
本色	bfse
奔丧	bfsh
不负所托	bfst
奔腾	bftg
坋	bftd
奔逃	bftc
本体	bfti
本田	bftm
本条	bftn
本土	bftu
悲愤填膺	bfty
比方说	bfuo
本身	bfuf
本省	bfug
本事	bfui
不负韶华	bfuh
百分之百	bfvb
本着	bfve
本质	bfvi
本站	bfvj
笨拙	bfvo
笨重	bfvs
不法之徒	bfvt
百分之	bfv2
笨猪	bfvu
不负众望	bfvw
百分之一	bfvy
本周	bfvz
本文	bfwf
本无	bfwu
本位	bfww
变法维新	bfwx
不放心	bfxb
本息	bfxi
白费心机	bfxj
本性	bfxk
本想	bfxl
本校	bfxn
不分轩轾	bfxv
不法行为	bfxw
暴风雨	bfyu
本页	bfye
本意	bfyi
本应	bfyk
本源	bfyr
本月	bfyt
不费一兵一卒	bfyz
不负责	bfze
奔走	bfzz
本尊	bfzy
本子	bfzi
本座	bfzo
不负责任	bfzr
不放在眼里	bfzl
半工半读	bgbd
不管不顾	bgbg
不管不问	bgbw
不干不净	bgbj
笔耕不辍	bgbi
包工包料	bgbl
蚌埠	bgbu
不敢当	bgdh
蹦跶	bgda
绷带	bgdd
蹦迪	bgdi
绷断	bgdr
不共戴天	bgdt
半个多世纪	bgdj
不过尔尔	bgee
迸发	bgfa
甭管	bggr
不敢苟同	bggt
崩坏	bghk
不甘后人	bghr
蹦床	bgil
白骨精	bgjk
绷紧	bgjb
蹦极	bgji
百感交集	bgjj
不甘寂寞	bgjm
不干胶	bgjn
崩溃	bgkv
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
不归路	bglu
帮个忙	bgmh
不公平	bgpk
崩盘	bgpj
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
不够塞牙缝	bgsf
不管三七二十一	bgsy
崩塌	bgta
博古通今	bgtj
